id	factchecking	claim	factchecking_updated
0	http://www.snopes.com/obama-encouraged-illegal-aliens-to-vote/	https://www.thegatewaypundit.com/2016/11/criminal-president-obama-encourages-illegal-aliens-vote-promises-no-repercussions-video/	https://www.snopes.com/fact-check/obama-encouraged-illegal-aliens-to-vote/
1	http://www.snopes.com/whoopi-goldberg-military-widows/	http://undergroundnewsreport.com/the-truth/whoopi-goldberg-navy-seal-widow-looking-attention/	https://www.snopes.com/fact-check/whoopi-goldberg-military-widows/
2	http://www.snopes.com/anti-trump-protesters-bused-into-austin/	thegatewaypundit.com/2016/11/figures-anti-trump-protesters-bussed-austin-fakeprotests/	https://www.snopes.com/fact-check/anti-trump-protesters-bused-into-austin/
3	http://www.snopes.com/michelle-obama-scrubs-twitter/	http://yournewswire.com/michelle-obama-deletes-hillary-clinton-twitter/	https://www.snopes.com/fact-check/michelle-obama-scrubs-twitter/
4	http://www.snopes.com/obama-veterans-money-to-syria/	http://www.redflagnews.com/headlines-2016/obama-cuts-26-billion-from-veterans-while-allocating-45-billion-to-syrian-migrants-moving-to-america	https://www.snopes.com/fact-check/obama-veterans-money-to-syria/
5	http://www.snopes.com/25-million-fraud-votes-for-clinton/	http://yournewswire.com/npr-25-million-fake-clinton-votes/	https://www.snopes.com/fact-check/25-million-fraud-votes-for-clinton/
6	http://www.snopes.com/were-police-told-stand-down-charlottesville/	http://yournewswire.com/charlottesville-hillary-soros/	https://www.snopes.com/fact-check/were-police-told-stand-down-charlottesville/
7	http://www.snopes.com/hillary-caught-trashing-beyonce/	http://thelastlineofdefense.org/woah-hillary-caught-on-hot-mic-trashing-beyonce-with-racial-slurs/	https://www.snopes.com/fact-check/hillary-caught-trashing-beyonce/
8	http://www.snopes.com/clinton-mcgill-found-dead/	https://www.geopolitica.ru/en/news/clintons-assistant-j-w-mcgill-found-dead	https://www.snopes.com/fact-check/clinton-mcgill-found-dead/
9	http://www.snopes.com/melania-trump-bans-monsanto/	http://yournewswire.com/melania-trump-bans-monsanto/	https://www.snopes.com/fact-check/melania-trump-bans-monsanto/
10	http://www.snopes.com/van-full-of-illegals-shows-up-to-vote-clinton-at-six-polling-places/	http://thelastlineofdefense.org/van-full-of-illegals-shows-up-to-vote-clinton-at-six-polling-places-still-think-voter-fraud-is-a-myth/	https://www.snopes.com/fact-check/van-full-of-illegals-shows-up-to-vote-clinton-at-six-polling-places/
11	https://www.snopes.com/fact-check/pope-francis-trump-hand-slap/	https://www.youtube.com/watch?time_continue=1&v=gVGrZb5gCbE	https://www.snopes.com/fact-check/pope-francis-trump-hand-slap/
12	https://www.factcheck.org/2017/09/kobachs-bogus-proof-voter-fraud/	http://www.breitbart.com/big-government/2017/09/07/exclusive-kobach-out-of-state-voters-changed-outcome-new-hampshire-senate-race/	https://www.factcheck.org/2017/09/kobachs-bogus-proof-voter-fraud/
